ID,employee_id,camera_no,confidence,name,time,branch_id,status
182849,2002021608,1,0.63,,2024-12-02 10:32:03,,1
182850,2023031406,3,0.66,,2024-12-02 10:32:21,,1
182851,2021112301,3,0.64,,2024-12-02 10:32:32,,1
182852,2017113001,3,0.72,,2024-12-02 10:32:51,,1
182853,2018021103,3,0.63,,2024-12-02 10:33:31,,1
182854,2017121104,2,0.63,,2024-12-02 10:35:31,,1
182855,2016011901,2,0.63,,2024-12-02 10:35:43,,1
182856,2017121104,0,0.66,,2024-12-02 10:36:17,,1
182857,2020113002,1,0.7,,2024-12-02 10:40:07,,1
182858,2016100404,3,0.66,,2024-12-02 10:45:57,,1
182859,2012091901,3,0.66,,2024-12-02 10:46:29,,1
182860,2007052301,1,0.71,,2024-12-02 10:46:44,,1
182861,2021110201,3,0.63,,2024-12-02 10:47:19,,1
182862,2019030304,3,0.65,,2024-12-02 10:52:40,,1
182863,2020070204,2,0.65,,2024-12-02 10:56:03,,1
182864,2020070204,0,0.79,,2024-12-02 10:56:04,,1
182865,2020101202,3,0.76,,2024-12-02 10:59:55,,1
182866,2020070204,2,0.67,,2024-12-02 11:06:20,,1
182867,2020070204,0,0.68,,2024-12-02 11:06:25,,1
182868,2020070204,2,0.68,,2024-12-02 11:07:41,,1
182869,2017122802,3,0.66,,2024-12-02 11:13:22,,1
182870,2024030321,2,0.64,,2024-12-02 11:14:30,,1
182871,2014071513,1,0.74,,2024-12-02 11:21:15,,1
182872,2023092101,1,0.63,,2024-12-02 11:21:33,,1
182873,2016100404,0,0.69,,2024-12-02 11:22:36,,1
182874,2017042601,0,0.64,,2024-12-02 11:22:54,,1
182875,2013040701,2,0.67,,2024-12-02 11:23:38,,1
182876,2017041901s,1,0.72,,2024-12-02 11:24:31,,1
182877,2005121801,3,0.63,,2024-12-02 11:26:04,,1
182878,2017122801,1,0.63,,2024-12-02 11:29:28,,1
182879,2021112301s,3,0.63,,2024-12-02 11:31:59,,1
182880,2017042601,3,0.67,,2024-12-02 11:33:25,,1
182881,2017042601,1,0.64,,2024-12-02 11:33:25,,1
182882,2024031206,0,0.65,,2024-12-02 11:42:33,,1
182883,2020113002,0,0.63,,2024-12-02 11:43:36,,1
182884,2001060103,0,0.63,,2024-12-02 11:44:32,,1
